trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
4982994_19722,23:08:00,23:08:00,PF_B02_1,17,0,0,18.9530
4982995_19722,23:18:00,23:18:00,PF_B02_1,17,0,0,18.9530
4982996_19722,23:28:00,23:28:00,PF_B02_1,17,0,0,18.9530
4982997_19722,23:38:00,23:38:00,PF_B02_1,17,0,0,18.9530
4982998_19722,23:48:00,23:48:00,PF_B02_1,17,0,0,18.9530
4982665_19722,23:58:00,23:58:00,PF_B02_1,17,0,0,18.9530
4982899_19722,24:08:00,24:08:00,PF_B02_1,17,0,0,18.9530
4982691_19722,24:18:00,24:18:00,PF_B02_1,17,0,0,18.9530
4982628_19722,24:28:00,24:28:00,PF_B02_1,17,0,0,18.9530
4982617_19722,24:38:00,24:38:00,PF_B02_1,17,0,0,18.9530
4982621_19722,24:48:00,24:48:00,PF_B02_1,17,0,0,18.9530
4982623_19722,24:58:00,24:58:00,PF_B02_1,17,0,0,18.9530
4982637_19722,25:10:00,25:10:00,PF_B02_1,17,0,0,18.9530
4983021_19722,07:41:00,07:41:00,PF_B02_1,17,0,0,18.9530
4983019_19722,07:47:00,07:47:00,PF_B02_1,17,0,0,18.9530
4983026_19722,07:53:00,07:53:00,PF_B02_1,17,0,0,18.9530
4983033_19722,07:59:00,07:59:00,PF_B02_1,17,0,0,18.9530
4983022_19722,08:05:00,08:05:00,PF_B02_1,17,0,0,18.9530
4983024_19722,08:11:00,08:11:00,PF_B02_1,17,0,0,18.9530
4983037_19722,08:17:00,08:17:00,PF_B02_1,17,0,0,18.9530
4983034_19722,08:23:00,08:23:00,PF_B02_1,17,0,0,18.9530
4983020_19722,08:29:00,08:29:00,PF_B02_1,17,0,0,18.9530
4983029_19722,08:35:00,08:35:00,PF_B02_1,17,0,0,18.9530
4983032_19722,08:41:00,08:41:00,PF_B02_1,17,0,0,18.9530
4983035_19722,08:47:00,08:47:00,PF_B02_1,17,0,0,18.9530
4983025_19722,08:53:00,08:53:00,PF_B02_1,17,0,0,18.9530
4983028_19722,08:59:00,08:59:00,PF_B02_1,17,0,0,18.9530
4983042_19722,09:05:00,09:05:00,PF_B02_1,17,0,0,18.9530
4983046_19722,09:11:00,09:11:00,PF_B02_1,17,0,0,18.9530
4983047_19722,09:17:00,09:17:00,PF_B02_1,17,0,0,18.9530
4983051_19722,09:23:00,09:23:00,PF_B02_1,17,0,0,18.9530
4983063_19722,09:29:00,09:29:00,PF_B02_1,17,0,0,18.9530
4983052_19722,09:35:00,09:35:00,PF_B02_1,17,0,0,18.9530
4983061_19722,09:41:00,09:41:00,PF_B02_1,17,0,0,18.9530
4983059_19722,09:47:00,09:47:00,PF_B02_1,17,0,0,18.9530
4983054_19722,09:53:00,09:53:00,PF_B02_1,17,0,0,18.9530
4983053_19722,09:59:00,09:59:00,PF_B02_1,17,0,0,18.9530
4983062_19722,10:05:00,10:05:00,PF_B02_1,17,0,0,18.9530
4983068_19722,10:11:00,10:11:00,PF_B02_1,17,0,0,18.9530
4983067_19722,10:17:00,10:17:00,PF_B02_1,17,0,0,18.9530
4983070_19722,10:23:00,10:23:00,PF_B02_1,17,0,0,18.9530
4983075_19722,10:29:00,10:29:00,PF_B02_1,17,0,0,18.9530
4983077_19722,10:35:00,10:35:00,PF_B02_1,17,0,0,18.9530
4983071_19722,10:41:00,10:41:00,PF_B02_1,17,0,0,18.9530
4983074_19722,10:47:00,10:47:00,PF_B02_1,17,0,0,18.9530
4983076_19722,10:53:00,10:53:00,PF_B02_1,17,0,0,18.9530
4983073_19722,10:59:00,10:59:00,PF_B02_1,17,0,0,18.9530
4983083_19722,11:05:00,11:05:00,PF_B02_1,17,0,0,18.9530
4983092_19722,11:11:00,11:11:00,PF_B02_1,17,0,0,18.9530
4983084_19722,11:17:00,11:17:00,PF_B02_1,17,0,0,18.9530
4983085_19722,11:23:00,11:23:00,PF_B02_1,17,0,0,18.9530
4983091_19722,11:29:00,11:29:00,PF_B02_1,17,0,0,18.9530
4983094_19722,11:35:00,11:35:00,PF_B02_1,17,0,0,18.9530
4983098_19722,11:41:00,11:41:00,PF_B02_1,17,0,0,18.9530
4983096_19722,11:47:00,11:47:00,PF_B02_1,17,0,0,18.9530
4983103_19722,11:53:00,11:53:00,PF_B02_1,17,0,0,18.9530
4983104_19722,11:59:00,11:59:00,PF_B02_1,17,0,0,18.9530
4983106_19722,12:05:00,12:05:00,PF_B02_1,17,0,0,18.9530
4983101_19722,12:11:00,12:11:00,PF_B02_1,17,0,0,18.9530
4983116_19722,12:17:00,12:17:00,PF_B02_1,17,0,0,18.9530
4983109_19722,12:23:00,12:23:00,PF_B02_1,17,0,0,18.9530
4983112_19722,12:29:00,12:29:00,PF_B02_1,17,0,0,18.9530
4983118_19722,12:35:00,12:35:00,PF_B02_1,17,0,0,18.9530
4983119_19722,12:41:00,12:41:00,PF_B02_1,17,0,0,18.9530
4983110_19722,12:47:00,12:47:00,PF_B02_1,17,0,0,18.9530
4983113_19722,12:53:00,12:53:00,PF_B02_1,17,0,0,18.9530
4983122_19722,12:59:00,12:59:00,PF_B02_1,17,0,0,18.9530
4983124_19722,13:05:00,13:05:00,PF_B02_1,17,0,0,18.9530
4983127_19722,13:11:00,13:11:00,PF_B02_1,17,0,0,18.9530
4983135_19722,13:17:00,13:17:00,PF_B02_1,17,0,0,18.9530
4983130_19722,13:23:00,13:23:00,PF_B02_1,17,0,0,18.9530
4983134_19722,13:29:00,13:29:00,PF_B02_1,17,0,0,18.9530
4983129_19722,13:35:00,13:35:00,PF_B02_1,17,0,0,18.9530
4983137_19722,13:41:00,13:41:00,PF_B02_1,17,0,0,18.9530
4983133_19722,13:47:00,13:47:00,PF_B02_1,17,0,0,18.9530
4983148_19722,13:53:00,13:53:00,PF_B02_1,17,0,0,18.9530
4983146_19722,13:59:00,13:59:00,PF_B02_1,17,0,0,18.9530
4983143_19722,14:05:00,14:05:00,PF_B02_1,17,0,0,18.9530
4983150_19722,14:11:00,14:11:00,PF_B02_1,17,0,0,18.9530
4983145_19722,14:17:00,14:17:00,PF_B02_1,17,0,0,18.9530
4983156_19722,14:23:00,14:23:00,PF_B02_1,17,0,0,18.9530
4983163_19722,14:29:00,14:29:00,PF_B02_1,17,0,0,18.9530
4983159_19722,14:35:00,14:35:00,PF_B02_1,17,0,0,18.9530
4983157_19722,14:41:00,14:41:00,PF_B02_1,17,0,0,18.9530
4983165_19722,14:47:00,14:47:00,PF_B02_1,17,0,0,18.9530
4983166_19722,14:53:00,14:53:00,PF_B02_1,17,0,0,18.9530
4983162_19722,14:59:00,14:59:00,PF_B02_1,17,0,0,18.9530
4983178_19722,15:05:00,15:05:00,PF_B02_1,17,0,0,18.9530
4983191_19722,15:11:00,15:11:00,PF_B02_1,17,0,0,18.9530
4983183_19722,15:17:00,15:17:00,PF_B02_1,17,0,0,18.9530
4983186_19722,15:23:00,15:23:00,PF_B02_1,17,0,0,18.9530
4983188_19722,15:29:00,15:29:00,PF_B02_1,17,0,0,18.9530
4983172_19722,15:35:00,15:35:00,PF_B02_1,17,0,0,18.9530
4983179_19722,15:41:00,15:41:00,PF_B02_1,17,0,0,18.9530
4983180_19722,15:47:00,15:47:00,PF_B02_1,17,0,0,18.9530
4983185_19722,15:53:00,15:53:00,PF_B02_1,17,0,0,18.9530
4983175_19722,15:59:00,15:59:00,PF_B02_1,17,0,0,18.9530
4983174_19722,16:05:00,16:05:00,PF_B02_1,17,0,0,18.9530
4983193_19722,16:11:00,16:11:00,PF_B02_1,17,0,0,18.9530
4983153_19722,16:17:00,16:17:00,PF_B02_1,17,0,0,18.9530
4983152_19722,16:23:00,16:23:00,PF_B02_1,17,0,0,18.9530
4983222_19722,16:29:00,16:29:00,PF_B02_1,17,0,0,18.9530
4983228_19722,16:35:00,16:35:00,PF_B02_1,17,0,0,18.9530
4983223_19722,16:41:00,16:41:00,PF_B02_1,17,0,0,18.9530
4983205_19722,16:47:00,16:47:00,PF_B02_1,17,0,0,18.9530
4983199_19722,16:53:00,16:53:00,PF_B02_1,17,0,0,18.9530
4983202_19722,16:59:00,16:59:00,PF_B02_1,17,0,0,18.9530
4983226_19722,17:05:00,17:05:00,PF_B02_1,17,0,0,18.9530
4983227_19722,17:11:00,17:11:00,PF_B02_1,17,0,0,18.9530
4983204_19722,17:17:00,17:17:00,PF_B02_1,17,0,0,18.9530
4983208_19722,17:23:00,17:23:00,PF_B02_1,17,0,0,18.9530
4983224_19722,17:29:00,17:29:00,PF_B02_1,17,0,0,18.9530
4983210_19722,17:35:00,17:35:00,PF_B02_1,17,0,0,18.9530
4983206_19722,17:41:00,17:41:00,PF_B02_1,17,0,0,18.9530
4983197_19722,17:47:00,17:47:00,PF_B02_1,17,0,0,18.9530
4983203_19722,17:53:00,17:53:00,PF_B02_1,17,0,0,18.9530
4983257_19722,17:59:00,17:59:00,PF_B02_1,17,0,0,18.9530
4983231_19722,18:05:00,18:05:00,PF_B02_1,17,0,0,18.9530
4983215_19722,18:11:00,18:11:00,PF_B02_1,17,0,0,18.9530
4983252_19722,18:17:00,18:17:00,PF_B02_1,17,0,0,18.9530
4983267_19722,18:23:00,18:23:00,PF_B02_1,17,0,0,18.9530
4983269_19722,18:29:00,18:29:00,PF_B02_1,17,0,0,18.9530
4983255_19722,18:35:00,18:35:00,PF_B02_1,17,0,0,18.9530
4983262_19722,18:41:00,18:41:00,PF_B02_1,17,0,0,18.9530
4983244_19722,18:47:00,18:47:00,PF_B02_1,17,0,0,18.9530
4983232_19722,18:53:00,18:53:00,PF_B02_1,17,0,0,18.9530
4983234_19722,18:59:00,18:59:00,PF_B02_1,17,0,0,18.9530
4983271_19722,19:05:00,19:05:00,PF_B02_1,17,0,0,18.9530
4983273_19722,19:11:00,19:11:00,PF_B02_1,17,0,0,18.9530
4983264_19722,19:17:00,19:17:00,PF_B02_1,17,0,0,18.9530
4983220_19722,19:23:00,19:23:00,PF_B02_1,17,0,0,18.9530
4983261_19722,19:29:00,19:29:00,PF_B02_1,17,0,0,18.9530
4983229_19722,19:35:00,19:35:00,PF_B02_1,17,0,0,18.9530
4983268_19722,19:41:00,19:41:00,PF_B02_1,17,0,0,18.9530
4983237_19722,19:47:00,19:47:00,PF_B02_1,17,0,0,18.9530
4983241_19722,19:53:00,19:53:00,PF_B02_1,17,0,0,18.9530
4983247_19722,19:59:00,19:59:00,PF_B02_1,17,0,0,18.9530
4983258_19722,20:05:00,20:05:00,PF_B02_1,17,0,0,18.9530
4983248_19722,20:11:00,20:11:00,PF_B02_1,17,0,0,18.9530
4983219_19722,20:17:00,20:17:00,PF_B02_1,17,0,0,18.9530
4983277_19722,20:23:00,20:23:00,PF_B02_1,17,0,0,18.9530
4983292_19722,20:29:00,20:29:00,PF_B02_1,17,0,0,18.9530
4983308_19722,20:35:00,20:35:00,PF_B02_1,17,0,0,18.9530
4983300_19722,20:41:00,20:41:00,PF_B02_1,17,0,0,18.9530
4983274_19722,20:47:00,20:47:00,PF_B02_1,17,0,0,18.9530
4983289_19722,20:53:00,20:53:00,PF_B02_1,17,0,0,18.9530
4983291_19722,20:59:00,20:59:00,PF_B02_1,17,0,0,18.9530
4983285_19722,21:05:00,21:05:00,PF_B02_1,17,0,0,18.9530
4983284_19722,21:11:00,21:11:00,PF_B02_1,17,0,0,18.9530
4983294_19722,21:17:00,21:17:00,PF_B02_1,17,0,0,18.9530
4983280_19722,21:23:00,21:23:00,PF_B02_1,17,0,0,18.9530
4983279_19722,21:29:00,21:29:00,PF_B02_1,17,0,0,18.9530
4983298_19722,21:35:00,21:35:00,PF_B02_1,17,0,0,18.9530
4983293_19722,21:41:00,21:41:00,PF_B02_1,17,0,0,18.9530
4983312_19722,21:47:00,21:47:00,PF_B02_1,17,0,0,18.9530
4983311_19722,21:53:00,21:53:00,PF_B02_1,17,0,0,18.9530
4983305_19722,21:59:00,21:59:00,PF_B02_1,17,0,0,18.9530
4983302_19722,22:05:00,22:05:00,PF_B02_1,17,0,0,18.9530
4983317_19722,22:11:00,22:11:00,PF_B02_1,17,0,0,18.9530
4983304_19722,22:19:00,22:19:00,PF_B02_1,17,0,0,18.9530
4983321_19722,22:28:00,22:28:00,PF_B02_1,17,0,0,18.9530
4983337_19722,22:38:00,22:38:00,PF_B02_1,17,0,0,18.9530
4983328_19722,22:48:00,22:48:00,PF_B02_1,17,0,0,18.9530
4983334_19722,22:58:00,22:58:00,PF_B02_1,17,0,0,18.9530
4983327_19722,23:08:00,23:08:00,PF_B02_1,17,0,0,18.9530
4983330_19722,23:18:00,23:18:00,PF_B02_1,17,0,0,18.9530
4983331_19722,23:28:00,23:28:00,PF_B02_1,17,0,0,18.9530
4983341_19722,23:38:00,23:38:00,PF_B02_1,17,0,0,18.9530
4983342_19722,23:48:00,23:48:00,PF_B02_1,17,0,0,18.9530
4983348_19722,23:58:00,23:58:00,PF_B02_1,17,0,0,18.9530
4983345_19722,24:10:00,24:10:00,PF_B02_1,17,0,0,18.9530
5150325_19722,07:41:00,07:41:00,PF_B02_1,17,0,0,18.9530
5150329_19722,07:47:00,07:47:00,PF_B02_1,17,0,0,18.9530
5150328_19722,07:53:00,07:53:00,PF_B02_1,17,0,0,18.9530
5150284_19722,07:59:00,07:59:00,PF_B02_1,17,0,0,18.9530
5150276_19722,08:05:00,08:05:00,PF_B02_1,17,0,0,18.9530
5150279_19722,08:11:00,08:11:00,PF_B02_1,17,0,0,18.9530
5150285_19722,08:17:00,08:17:00,PF_B02_1,17,0,0,18.9530
5150277_19722,08:23:00,08:23:00,PF_B02_1,17,0,0,18.9530
